city,timestamp,temperature,season
New York,2010-01-01,0.7988427905751663,winter
New York,2010-01-02,-1.2022178676723234,winter
New York,2010-01-03,-1.8635571036502905,winter
New York,2010-01-04,-4.0238541710278835,winter
New York,2010-01-05,-3.2942755815047753,winter
New York,2010-01-06,-2.273922798554536,winter
New York,2010-01-07,-3.8186392292861173,winter
New York,2010-01-08,3.7370024950486025,winter
New York,2010-01-09,-1.8860701502187385,winter
New York,2010-01-10,-3.1533589589592226,winter
New York,2010-01-11,-1.6874766691867267,winter
New York,2010-01-12,0.48634146591679617,winter
New York,2010-01-13,3.3563560169565565,winter
New York,2010-01-14,-5.319830443609989,winter
New York,2010-01-15,-0.2063289734358229,winter
New York,2010-01-16,8.235908782333269,winter
New York,2010-01-17,7.098139412997071,winter
New York,2010-01-18,1.0282768672424205,winter
New York,2010-01-19,3.882003198649424,winter
New York,2010-01-20,-0.6083440578116156,winter
New York,2010-01-21,-0.28895532950435354,winter
New York,2010-01-22,-2.79886771360305,winter
New York,2010-01-23,-2.60131281753915,winter
New York,2010-01-24,5.417299293114151,winter
New York,2010-01-25,-4.574496333624399,winter
New York,2010-01-26,-8.634102680196152,winter
New York,2010-01-27,7.086287050520434,winter
New York,2010-01-28,0.6115005627116923,winter
New York,2010-01-29,-6.325214231493384,winter
New York,2010-01-30,3.7928169242941587,winter
New York,2010-01-31,-1.3775396001866973,winter
New York,2010-02-01,-5.944388874854986,winter
New York,2010-02-02,-7.617979696597751,winter
New York,2010-02-03,-4.430543315917244,winter
New York,2010-02-04,13.175450723174695,winter
New York,2010-02-05,1.3791772483889653,winter
New York,2010-02-06,2.1552912003372318,winter
New York,2010-02-07,-1.2282737625082176,winter
New York,2010-02-08,0.8930429442651676,winter
New York,2010-02-09,-0.646150833159236,winter
New York,2010-02-10,-1.788943364008785,winter
New York,2010-02-11,3.117242657518557,winter
New York,2010-02-12,-1.8105168095390147,winter
New York,2010-02-13,6.095803044800147,winter
New York,2010-02-14,-7.4013432482566675,winter
New York,2010-02-15,-1.6798536234969204,winter
New York,2010-02-16,-5.104391271869649,winter
New York,2010-02-17,1.9050101091788427,winter
